Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight,S&P500
2024-09-13,LUV,28.68000030517578,28.68000030517578,29.32999992370605,28.64999961853028,28.989999771118164,6011400.0,NYQ,Southwest Airlines Company,Southwest Airlines Co.,Industrials,Airlines,28.68,17183821824,1730000000.0,0.045,Dallas,TX,United States,74081.0,0.0003291220490162,5626.02
2024-09-13,SWK,101.3499984741211,101.3499984741211,102.0,98.26000213623048,98.26000213623048,1347900.0,NYQ,"Stanley Black & Decker, Inc.","Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,101.35,15603744768,1495100032.0,-0.032,New Britain,CT,United States,50000.0,0.0002988588046926,5626.02
2024-09-13,SBUX,98.56999969482422,98.56999969482422,99.51000213623048,98.5,99.12999725341795,9898800.0,NMS,Starbucks Corporation,Starbucks Corporation,Consumer Cyclical,Restaurants,98.57,111699525632,7081600000.0,-0.006,Seattle,WA,United States,381000.0,0.002139383027052,5626.02
2024-09-13,STLD,112.83999633789062,112.83999633789062,114.13999938964844,111.3000030517578,111.62999725341795,1031500.0,NMS,"Steel Dynamics, Inc.","Steel Dynamics, Inc.",Basic Materials,Steel,112.84,17411551232,3013628928.0,-0.088,Fort Wayne,IN,United States,12600.0,0.0003334837544709,5626.02
2024-09-13,STE,244.8300018310547,244.8300018310547,248.2400054931641,244.6199951171875,245.1999969482422,271300.0,NYQ,STERIS plc (Ireland),STERIS plc,Healthcare,Medical Devices,244.83,24144328704,1345448960.0,0.081,Mentor,OH,United States,18000.0,0.0004624367627046,5626.02
2024-09-13,SYK,370.25,370.25,374.239990234375,366.9299926757813,366.9299926757813,1114100.0,NYQ,Stryker Corporation,Stryker Corporation,Healthcare,Medical Devices,370.25,141093027840,5459999744.0,0.085,Portage,MI,United States,52000.0,0.0027023573044592,5626.02
2024-09-13,SNPS,490.0700073242188,490.0700073242188,494.7699890136719,485.0,488.9500122070313,955200.0,NMS,"Synopsys, Inc.","Synopsys, Inc.",Technology,Software - Infrastructure,490.07,75281612800,1652390016.0,0.127,Sunnyvale,CA,United States,20300.0,0.0014418700863961,5626.02
2024-09-13,SYY,76.5199966430664,76.5199966430664,77.22000122070312,75.88999938964844,76.80000305175781,3384500.0,NYQ,Sysco Corporation,Sysco Corporation,Consumer Defensive,Food Distribution,76.52,37611184128,4362999808.0,0.042,Houston,TX,United States,76000.0,0.0007203676872887,5626.02
2024-09-13,TMUS,202.8300018310547,202.8300018310547,203.25,200.72000122070312,202.0,1935400.0,NMS,"T-Mobile US, Inc.","T-Mobile US, Inc.",Communication Services,Telecom Services,202.83,236657999872,29938999296.0,0.03,Bellevue,WA,United States,67000.0,0.0045327149356951,5626.02
2024-09-13,TROW,104.55999755859376,104.55999755859376,105.06999969482422,104.25,104.38999938964844,1147800.0,NMS,"T. Rowe Price Group, Inc.","T. Rowe Price Group, Inc.",Financial Services,Asset Management,104.56,23274846208,2626400000.0,0.076,Baltimore,MD,United States,7929.0,0.0004457835487922,5626.02
2024-09-13,TTWO,152.17999267578125,152.17999267578125,154.89999389648438,152.07000732421875,153.82000732421875,1223400.0,NMS,"Take-Two Interactive Software, ","Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,152.18,26674567168,487800000.0,0.042,New York,NY,United States,12371.0,0.0005108984655958,5626.02
2024-09-13,TPR,42.7599983215332,42.7599983215332,43.45000076293945,42.310001373291016,42.310001373291016,1949400.0,NYQ,"Tapestry, Inc.","Tapestry, Inc.",Consumer Cyclical,Luxury Goods,42.76,9844249600,1430300032.0,-0.018,New York,NY,United States,12500.0,0.0001885470899642,5626.02
2024-09-13,TRGP,148.19000244140625,148.19000244140625,148.27999877929688,146.38999938964844,147.2100067138672,833400.0,NYQ,"Targa Resources, Inc.",Targa Resources Corp.,Energy,Oil & Gas Midstream,148.19,32465465344,3774899968.0,0.047,Houston,TX,United States,3182.0,0.0006218116427022,5626.02
